energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,proteins_value,salt_value,sodium_value,energy_value,off:nutriscore_score,off:ecoscore_score,cluster,code
380.0,8.3,2.8,63.0,17.0,8.8,0.02,0.008,1599.0,-2.0,79.0,2,3560071407568
349.0,1.0,0.4,76.0,0.5,8.3,0.03,0.012,1481.0,-2.0,3.0,2,3560070837984
388.0,4.8,2.0,73.6,22.4,8.8,0.22,0.088,1626.0,-1.0,30.0,0,8410100026312
366.0,6.9,1.0,61.0,13.0,10.0,0.02,0.008,1542.0,-4.0,79.0,2,3560071407506
372.0,7.0,1.2,58.7,0.7,13.5,0.02,0.008,1566.0,-5.0,76.0,2,20283360
107.0,3.3,2.0,12.3,10.1,7.0,0.2,0.08,452.0,2.9960358497069977,45.5032693093584,4,7613036569927
339.2182325527606,7.65050532628694,1.8769132209561203,55.75208659200276,7.01385520495312,9.400641515028987,6.061229070705468,2.4244916282821873,597.0493601720625,6.0,59.0,2,8410300349952
464.0,34.0,4.0,2.6,0.4,22.0,0.01,0.004,1916.0,-2.0,20.0,1,8480000349613
395.0,3.6,0.5,79.0,1.0,8.2,0.95,0.38,1576.0,-2.0,50.0,2,3800233070033
469.0,17.0,4.0,65.0,13.0,9.3,0.01,0.004,1968.0,0.0,25.0,2,5059319016603
450.0,17.0,3.1,44.0,12.0,27.0,62.0,24.8,450.0,15.0,40.0,1,5060092030977
357.0,0.0,0.0,80.0,16.0,4.9,0.16,0.064,1512.0,2.9960358497069977,-20.0,2,8480000111876
522.0,31.7,3.3,41.9,1.2,13.5,1.8,0.72,522.0,11.0,75.0,1,8423102210351
375.0,10.6,2.7,53.6,11.2,10.8,0.07,0.028,1573.0,-2.0,68.0,2,20353889
377.0,0.8,0.1,84.0,6.5,6.8,1.9,0.76,1599.0,9.0,29.0,2,3560071016074
351.0,1.5,0.3,69.0,3.4,14.0,0.0,0.0,1490.0,-4.0,45.5032693093584,2,8001250120120
450.0,14.0,4.0,73.0,26.0,6.3,0.53,0.212,1894.0,12.0,50.0,0,8434165581821
373.0,1.3,0.3,79.0,15.0,8.2,0.81,0.324,1582.0,0.0,29.0,2,3560071013196
374.0,1.9,0.7,77.0,19.0,8.7,0.21,0.084,1583.0,-2.0,35.0,2,5010029201642
347.0,1.1,0.3,77.0,0.0,6.7,0.0,0.0,347.0,-3.0,12.0,2,8410830001016
359.0,1.7,0.3,74.0,3.1,12.0,0.04,0.016,1525.0,-6.0,60.0,2,8480000063441
397.0,1.7,0.4,78.0,0.9,12.0,0.0,0.0,397.0,-6.0,25.0,2,5059319019130
385.0,2.7000000476837,0.5,79.0,1.0,8.1000003814697,1.2999999523163,0.51999998092652,385.0,-1.0,44.0,2,3800233070026
341.0,0.4,0.0,82.7,0.3,0.4,0.4,0.16,1447.0,5.0,45.5032693093584,2,20441951
453.0,16.0,7.5,65.0,19.0,8.5,0.35,0.14,1902.0,12.0,56.0,0,3560071013035
368.0,1.8,0.6,74.8,10.8,9.4,0.9,0.36,1557.0,-1.0,29.0,2,3387390335217
445.0,15.0,7.2,66.0,20.0,8.5,0.53,0.212,1868.0,13.0,55.0,0,3560070823802
437.0,14.0,5.0,66.0,27.0,6.3,0.5,0.2,437.0,11.0,61.0,0,8480000093561
476.0,21.0,13.0,64.0,33.0,6.0,0.43,0.172,1995.0,20.0,43.0,0,8480000140159
425.0,13.0,1.6,59.8,3.8,13.8,1.4,0.56,425.0,7.0,77.0,2,8480000824172
334.0,1.7,0.4,50.0,1.2,26.0,2.5e-05,1e-05,1412.0,-6.0,45.5032693093584,2,8032804430822
371.0,1.4,0.3,78.0,17.0,8.1,0.76,0.304,1572.0,0.0,29.0,2,3560071013110
359.0,2.0,0.5,71.2,3.5,12.5,0.01,0.004,1521.0,-4.0,74.0,2,8076808060654
389.0,6.1,0.78,66.05,6.32,14.0,0.0,0.0,1643.0,-5.0,18.0,2,8480000094308
168.0,2.9,0.4,30.0,0.0,4.0,0.265,0.106,709.0,-3.0,12.0,4,8410184040747
377.0,1.1,0.5,84.0,6.2,6.0,1.0,0.4,1598.0,3.0,25.0,2,20203412
414.0,10.0,3.6,67.0,22.0,9.9,0.2,0.08,1745.0,7.0,57.0,0,8480000700872
351.0,1.5,0.3,69.0,3.4,14.0,0.0,0.0,1490.0,-4.0,60.0,2,8001250120410
399.0,7.5,4.3,71.0,20.0,8.5,0.8,0.32,1681.0,11.0,27.0,0,3387390326468
362.0,5.8,2.6,64.0,20.0,9.1,0.6,0.24,1528.0,7.0,71.0,0,3270190111108
57.0,1.3,0.1,11.0,4.7,0.5,0.08,0.032,240.0,1.0,84.0,4,3245411573669
429.0,13.3,1.7,65.0,18.0,8.7,0.22,0.088,1803.0,-1.0,61.0,2,7613035619456
447.0,14.9,3.4,68.7,29.9,7.2,0.55,0.22,447.0,16.0,49.0,0,4056489193029
456.0,16.0,4.5,69.0,26.0,7.1,0.94,0.376,456.0,15.0,25.0,0,5059319002323
368.0,1.8,0.6,75.0,11.0,9.4,0.9,0.36,1557.0,-1.0,36.0,2,3387390325911
392.0,7.0,0.6,65.0,12.0,13.0,0.63,0.252,1651.0,-2.0,75.0,2,5053827205566
464.0,18.5,7.5,61.5,17.2,9.5,0.24,0.096,1944.0,11.0,82.0,0,4056489209997
48.0,1.5,0.2,7.2,3.5,1.1,0.1,0.04,196.0,0.0,63.0,4,7394376615979
121.0,1.6,0.4,6.1,1.2,20.0,1.0,0.4,511.0,-1.0,79.0,4,3259010108047
388.0,9.2,2.8,69.1,23.1,6.1,0.6,0.24,388.0,13.0,30.0,0,5900020033956
603.0,53.0,6.3,3.1,2.5,22.0,0.03,0.012,2492.0,8.0,41.0,1,8480000868114
82.0,1.4,0.4,14.0,6.7,2.5,0.5,0.2,344.0,-2.0,72.0,4,8480000167644
344.0,2.8,0.5,51.0,10.0,15.0,0.88,0.352,344.0,-1.0,25.0,2,8480000602367
372.0,7.0,1.3,58.7,0.7,13.5,0.025,0.01,372.0,-5.0,67.0,2,8480017038845
363.0,7.4,3.9,60.0,15.1,9.1,0.06,0.024,1528.0,0.0,65.0,2,4056489515951
363.0,6.6,1.2,59.0,1.1,12.0,0.0,0.0,1530.0,-5.0,71.0,2,3560071006587
374.0,7.0,1.3,58.7,0.7,13.5,0.02,0.008,374.0,-5.0,45.5032693093584,2,8480000094575
45.0,0.8,0.2,7.7,5.0,1.3,6.061229070705468,2.4244916282821873,45.0,2.9960358497069977,52.0,4,5411188136217
385.0,3.1,0.5,76.5,19.3,9.1,0.29,0.116,1629.0,-1.0,29.0,2,5900020040534
451.0,14.0,1.9,67.0,11.0,9.3,0.01,0.004,1895.0,-2.0,68.0,2,5059319016573
392.0,1.3,0.3,84.0,15.0,8.0,0.84,0.336,1600.0,1.0,25.0,2,5059319025841
389.0,1.2,0.4,86.0,7.9,7.0,1.0,0.4,1643.0,2.0,30.0,2,5053827185738
357.0,2.0,0.3,75.5,0.9,7.8,6.061229070705468,2.4244916282821873,357.0,2.9960358497069977,79.0,2,7591002000547
388.0,4.8,2.0,73.6,22.4,8.8,0.22,0.088,388.0,-1.0,25.0,2,8410100027463
50.0,0.7,0.1,9.1,5.0,1.2,0.06,0.024,209.0,0.0,71.0,4,8410128169947
168.0,2.9,0.4,30.0,0.0,4.0,0.27,0.108,709.0,-3.0,12.0,4,8410184800150
344.0,1.0,0.2,75.0,0.5,8.2,0.01,0.004,1462.0,-1.0,25.0,2,8480000050441
303.0,6.4,1.8,51.0,1.8,8.0,1.5725,0.629,1243.0,2.0,86.0,2,8480000808707
361.0,6.1,0.7,58.0,2.7,14.0,0.01,0.004,1508.0,-6.0,22.0,2,3560070825905
407.0,11.0,1.2,63.0,21.0,7.6,0.83,0.332,1711.0,8.0,67.0,0,5050083563133
386.0,5.1,2.3,70.0,17.0,10.0,0.16,0.064,1629.0,-1.0,36.0,2,5010029204735
455.0,22.0,10.3,43.9,27.9,18.4,0.9,0.36,455.0,20.0,45.5032693093584,0,5060088704097
374.0,3.57,0.63,70.9,1.79,11.02,0.336,0.1344,374.0,-5.0,25.0,2,8414472103909
147.0,3.1,0.5,24.0,0.6,4.7,0.41,0.164,147.0,-3.0,18.0,4,8410184040754
1.0,0.0,0.0,0.2,0.0,0.0,0.14,0.056,1.0,0.0,25.0,4,8402001009143
387.0,0.9,0.1,86.0,0.5,7.0,0.01,0.004,1644.0,-3.0,54.0,2,3421557111044
479.0,21.5,1.7,61.0,2.8,8.8,1.39,0.556,2007.0,9.0,20.0,2,5026489487083
401.0,8.3,4.6,68.5,16.7,8.9,0.71,0.284,1659.0,9.0,25.0,0,7613031497126
350.0,1.3,0.3,73.0,0.6,10.0,0.02,0.008,1483.0,-4.0,82.0,2,8480000291004
461.0,17.3,2.8,69.0,24.4,6.0,0.49,0.196,1936.0,12.0,25.0,0,8480000095473
413.0,7.3,4.0,76.0,20.0,7.6,0.54,0.216,1729.0,9.0,33.0,0,8480000156099
401.0,12.0,1.4,52.0,3.2,8.8,0.08,0.032,1678.0,-4.0,61.0,2,8402001010873
343.0,2.2,0.5,55.0,2.4,22.0,0.14,0.056,1450.0,-6.0,45.5032693093584,2,3560071081362
375.0,0.6,0.6,87.0,37.0,4.5,0.83,0.332,1594.0,13.0,29.0,0,5053827185615
436.0,14.9,3.0,62.7,17.9,9.0,0.2,0.08,1830.0,0.0,25.0,0,7613035619425
353.0,1.3,0.4,76.0,1.0,7.9,0.01,0.004,1496.0,-1.0,25.0,2,8410184077118
62.0,3.2,0.3,6.7,4.5,1.2,0.12,0.048,62.0,0.0,63.0,4,8423352106947
444.0,17.0,4.8,62.0,24.0,7.6,0.02,0.008,1862.0,9.0,81.0,0,3560071407742
377.0,1.6,0.3,81.0,34.0,7.1,0.02,0.008,1597.0,6.0,19.0,0,5050083560262
423.0,12.9,1.3,63.3,0.8,7.3,2.2,0.88,423.0,10.0,45.5032693093584,2,5060490400259
378.0,2.9,0.5,74.0,12.0,9.5,0.0,0.0,378.0,-4.0,25.0,2,5060139434386
367.0,7.7,4.5,61.5,17.5,8.2,0.075,0.03,1544.0,6.0,79.0,0,4056489296812
375.0,1.5,0.3,79.0,15.0,9.0,1.0,0.4,1588.0,7.0,25.0,2,5050083934100
710.0,65.6,10.1,3.2,1.4,24.9,0.04,0.016,2932.0,15.0,30.0,1,8480000174413
350.0,1.2,0.3,70.5,3.2,12.5,0.0,0.0,1483.0,-4.0,45.5032693093584,2,20003463
364.0,6.1,0.9,63.0,16.0,9.9,0.02,0.008,1536.0,-3.0,76.0,2,3560071407537
355.0,1.0,0.4,70.5,0.4,14.6,0.43,0.172,1507.0,0.0,45.5032693093584,2,20561864
349.0,1.1,0.3,73.0,0.9,9.3,0.02,0.008,1429.0,-3.0,99.0,2,3245414662926
508.0,40.0,4.5,3.0,1.8,22.0,0.1,0.04,508.0,0.0,49.0,1,5016887003893
501.0,27.1,4.2,45.2,3.8,14.2,0.02,0.008,501.0,0.0,61.0,2,5060092030878
347.0,2.5,0.5,71.0,1.2,8.4,0.01,0.004,1470.0,-4.0,25.0,2,8480000050144
386.0,1.9,0.9,84.0,17.0,6.3,0.65,0.26,386.0,2.0,25.0,2,5053827207621
455.0,17.3,4.5,61.1,20.9,9.6,0.53,0.212,455.0,10.0,66.0,0,4056489167860
400.0,3.3,0.5,80.0,13.0,10.0,1.0,0.4,400.0,0.0,30.0,2,58449771890
